127.0.0.1 - - [16/Nov/2018:16:35:22 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:35:48 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:35:55 +0800] "GET /HttpResponseStudy/byte HTTP/1.1" 404 995
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:35:55 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:04 +0800] "GET /Rgister/ HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/ HTTP/1.1" 200 13468
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/css/bootstrap.min.css HTTP/1.1" 200 122544
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/js/jquery-1.11.3.min.js HTTP/1.1" 200 95962
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/logo2.png HTTP/1.1" 200 8086
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/header.png HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/1.jpg HTTP/1.1" 200 145795
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/2.jpg HTTP/1.1" 200 167457
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/3.jpg HTTP/1.1" 200 201004
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/title2.jpg HTTP/1.1" 200 1703
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/products/hao/big01.jpg HTTP/1.1" 200 15121
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/products/hao/middle01.jpg HTTP/1.1" 200 34449
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/products/hao/small03.jpg HTTP/1.1" 200 5609
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/products/hao/small04.jpg HTTP/1.1" 200 9109
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/products/hao/small05.jpg HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/products/hao/ad.jpg HTTP/1.1" 200 39033
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/img/footer.jpg HTTP/1.1" 200 24121
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:12 +0800] "GET /Register/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:15 +0800] "GET /Register/login.jsp HTTP/1.1" 200 6262
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:15 +0800] "GET /Register/css/style.css HTTP/1.1" 200 786
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:15 +0800] "GET /Register/images/login.gif HTTP/1.1" 200 847
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:15 +0800] "GET /Register/images/loginbg.jpg HTTP/1.1" 200 97383
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:17 +0800] "GET /Register/checkImg HTTP/1.1" 200 2046
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:40 +0800] "POST /Register/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2018:16:36:40 +0800] "GET /Register/index.jsp HTTP/1.1" 200 13468
